,Participating State,date,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported
45,Vermont,2011,84,619283.0,6,7
46,Virginia,2011,408,8087318.0,54,144
48,Washington,2011,246,6822528.0,69,213
49,West Virginia,2011,281,1689892.0,14,18
50,Wisconsin,2011,399,5669896.0,22,76
51,Wyoming,2011,63,561000.0,2,2
1,Alabama,2012,8,141235.0,1,6
2,Alaska,2012,5,315266.0,1,6
3,Arizona,2012,81,5974180.0,22,176
4,Arkansas,2012,265,2748544.0,17,30
5,California,2012,731,37933751.0,247,910
6,Colorado,2012,227,5109141.0,50,189
7,Connecticut,2012,101,3574937.0,48,149
8,Delaware,2012,57,917092.0,5,10
9,District of Columbia,2012,2,632323.0,2,72
10,Florida,2012,505,19224398.0,69,144
11,Georgia,2012,513,7696372.0,5,21
13,Idaho,2012,108,1595241.0,10,35
14,Illinois,2012,711,12297695.0,49,84
15,Indiana,2012,112,2684625.0,8,37
16,Iowa,2012,219,2935796.0,4,8
17,Kansas,2012,350,2258766.0,34,81
18,Kentucky,2012,379,3653352.0,86,194
19,Louisiana,2012,58,2213017.0,3,4
20,Maine,2012,149,1329192.0,20,52
21,Maryland,2012,154,5884563.0,16,35
22,Massachusetts,2012,304,5736749.0,76,157
23,Michigan,2012,592,9666469.0,178,617
24,Minnesota,2012,177,3834480.0,27,72
25,Mississippi,2012,53,707165.0,3,18
26,Missouri,2012,636,6019690.0,29,104
27,Montana,2012,99,995410.0,13,36
28,Nebraska,2012,69,673815.0,5,9
29,Nevada,2012,4,2195232.0,4,91
30,New Hampshire,2012,152,1186056.0,21,29
31,New Mexico,2012,31,223466.0,1,2
32,New York,2012,548,19222847.0,73,715
33,North Carolina,2012,523,9750451.0,44,119
34,North Dakota,2012,96,689607.0,14,41
35,Ohio,2012,594,9841632.0,104,257
36,Oklahoma,2012,243,1363283.0,18,21
37,Oregon,2012,72,2015920.0,24,52
38,Pennsylvania,2012,1382,12635883.0,20,38
39,Rhode Island,2012,47,1049246.0,7,12
40,South Carolina,2012,398,4714086.0,68,148
41,South Dakota,2012,113,756389.0,7,29
42,Tennessee,2012,461,6456188.0,80,317
43,Texas,2012,65,3484920.0,20,52
44,Utah,2012,128,2799874.0,36,102
45,Vermont,2012,87,622979.0,6,12
46,Virginia,2012,420,8185867.0,46,134
48,Washington,2012,247,6890640.0,69,272
49,West Virginia,2012,285,1733977.0,16,27
50,Wisconsin,2012,400,5682618.0,22,68
51,Wyoming,2012,59,555285.0,2,2
1,Alabama,2013,48,1147612.0,4,6
2,Alaska,2013,33,730950.0,1,8
3,Arizona,2013,81,6358545.0,21,155
4,Arkansas,2013,265,2809536.0,20,27
5,California,2013,732,38324460.0,229,843
6,Colorado,2013,226,5163276.0,48,128
7,Connecticut,2013,98,3566367.0,48,145
8,Delaware,2013,58,925749.0,11,12
9,District of Columbia,2013,2,646449.0,2,72
10,Florida,2013,504,19455529.0,41,76
11,Georgia,2013,499,7817674.0,7,57
13,Idaho,2013,108,1611676.0,12,32
14,Illinois,2013,720,12269532.0,38,105
15,Indiana,2013,134,4034953.0,15,75
16,Iowa,2013,222,2958457.0,9,10
17,Kansas,2013,354,2665446.0,30,64
18,Kentucky,2013,385,4334254.0,77,171
19,Louisiana,2013,109,3237092.0,6,22
20,Maine,2013,148,1328302.0,17,25
21,Maryland,2013,154,5928814.0,20,51
22,Massachusetts,2013,330,6496451.0,78,350
23,Michigan,2013,600,9733958.0,141,329
24,Minnesota,2013,257,4904213.0,39,144
25,Mississippi,2013,90,1497332.0,2,4
26,Missouri,2013,621,6040074.0,20,102
27,Montana,2013,98,1000016.0,12,31
28,Nebraska,2013,182,1511235.0,10,36
29,Nevada,2013,5,2229342.0,5,73
30,New Hampshire,2013,151,1178087.0,16,21
31,New Jersey,2013,508,8898292.0,140,414
32,New Mexico,2013,23,888880.0,3,12
33,New York,2013,566,19515678.0,85,615
34,North Carolina,2013,522,9845983.0,48,118
35,North Dakota,2013,105,722021.0,19,51
36,Ohio,2013,644,10376248.0,111,370
37,Oklahoma,2013,328,3850568.0,25,41
38,Oregon,2013,76,2301273.0,18,66
39,Pennsylvania,2013,1375,12657821.0,20,64
40,Rhode Island,2013,48,1051511.0,7,7
41,South Carolina,2013,418,4761406.0,39,51
42,South Dakota,2013,113,767653.0,8,13
43,Tennessee,2013,466,6495978.0,56,196
44,Texas,2013,1000,26304575.0,50,132
45,Utah,2013,131,2883607.0,35,75
46,Vermont,2013,88,623447.0,10,12
47,Virginia,2013,416,8258337.0,54,119
49,Washington,2013,244,6967181.0,80,291
50,West Virginia,2013,263,1670269.0,17,56
51,Wisconsin,2013,402,5691976.0,21,50
52,Wyoming,2013,63,577987.0,1,1
1,Alabama,2014,39,794907.0,4,9
2,Alaska,2014,33,732371.0,1,6
3,Arizona,2014,99,6433584.0,22,265
4,Arkansas,2014,270,2661818.0,5,8
5,California,2014,743,38802500.0,208,759
6,Colorado,2014,231,5268592.0,40,96
7,Connecticut,2014,95,3375662.0,54,123
8,Delaware,2014,60,935614.0,9,13
9,District of Columbia,2014,2,658893.0,2,70
10,Florida,2014,505,19794279.0,37,65
11,Georgia,2014,479,8204655.0,4,41
13,Idaho,2014,112,1634011.0,10,25
14,Illinois,2014,693,12029618.0,48,109
15,Indiana,2014,348,6093574.0,15,50
16,Iowa,2014,221,2974604.0,10,11
17,Kansas,2014,359,2843179.0,37,73
18,Kentucky,2014,399,4386536.0,84,163
19,Louisiana,2014,86,2706155.0,6,9
20,Maine,2014,184,1330089.0,15,28
21,Maryland,2014,154,5976407.0,9,16
22,Massachusetts,2014,315,6485973.0,90,375
23,Michigan,2014,607,9732430.0,119,311
24,Minnesota,2014,292,5287138.0,27,98
25,Mississippi,2014,75,1349655.0,1,1
26,Missouri,2014,630,6061406.0,25,76
27,Montana,2014,98,992702.0,12,30
28,Nebraska,2014,216,1763318.0,7,47
29,Nevada,2014,51,2834483.0,4,24
30,New Hampshire,2014,158,1238190.0,11,14
31,New Jersey,2014,509,8936591.0,126,336
32,New Mexico,2014,7,717010.0,3,13
33,New York,2014,572,19652379.0,59,545
34,North Carolina,2014,524,9942854.0,40,140
35,North Dakota,2014,111,738176.0,16,40
36,Ohio,2014,606,9711237.0,105,403
37,Oklahoma,2014,333,3878051.0,18,33
38,Oregon,2014,92,1526458.0,15,26
39,Pennsylvania,2014,1457,12587318.0,22,50
40,Rhode Island,2014,48,1054130.0,4,4
41,South Carolina,2014,430,4813088.0,32,49
42,South Dakota,2014,121,776484.0,12,18
43,Tennessee,2014,465,6519911.0,53,194
44,Texas,2014,1033,26922758.0,57,145
45,Utah,2014,134,2926391.0,23,50
46,Vermont,2014,91,626306.0,10,15
47,Virginia,2014,414,8324943.0,50,118
49,Washington,2014,262,7051748.0,67,308
50,West Virginia,2014,269,1648198.0,16,26
51,Wisconsin,2014,397,5610210.0,22,51
52,Wyoming,2014,63,579446.0,0,0
1,Alabama,2015,34,1252146.0,3,10
2,Alaska,2015,33,734820.0,4,8
3,Arizona,2015,101,6622880.0,21,276
4,Arkansas,2015,279,2754543.0,4,5
5,California,2015,730,39137326.0,213,837
6,Colorado,2015,234,5445853.0,42,107
7,Connecticut,2015,95,3399068.0,44,93
8,Delaware,2015,60,945934.0,7,11
9,District of Columbia,2015,2,672228.0,2,65
10,Florida,2015,38,5356877.0,36,72
11,Georgia,2015,473,7991234.0,7,44
12,Idaho,2015,112,1654475.0,19,34
13,Illinois,2015,741,12501008.0,43,90
14,Indiana,2015,168,3224755.0,18,63
15,Iowa,2015,237,3105094.0,5,6
16,Kansas,2015,345,2741323.0,34,62
17,Kentucky,2015,403,4402368.0,83,188
18,Louisiana,2015,148,3711824.0,15,38
19,Maine,2015,184,1329328.0,14,38
20,Maryland,2015,154,6006401.0,11,41
21,Massachusetts,2015,342,6566279.0,85,411
22,Michigan,2015,617,9834270.0,127,309
23,Minnesota,2015,319,5218435.0,27,109
24,Mississippi,2015,43,763830.0,0,0
25,Missouri,2015,628,6079483.0,28,100
26,Montana,2015,101,1023807.0,13,45
27,Nebraska,2015,227,1821196.0,3,19
28,Nevada,2015,53,2890845.0,6,58
29,New Hampshire,2015,168,1267715.0,9,13
30,New Jersey,2015,508,8956395.0,123,330
31,New Mexico,2015,18,574972.0,2,13
32,New York,2015,575,19766342.0,60,500
33,North Carolina,2015,532,10041690.0,52,161
34,North Dakota,2015,112,756927.0,19,36
35,Ohio,2015,595,9781677.0,109,416
36,Oklahoma,2015,351,3896985.0,29,37
37,Oregon,2015,130,1671416.0,16,65
38,Pennsylvania,2015,1436,12550581.0,26,64
39,Rhode Island,2015,49,1056298.0,8,18
40,South Carolina,2015,436,4826241.0,40,55
41,South Dakota,2015,121,782152.0,9,16
42,Tennessee,2015,463,6600299.0,61,221
43,Texas,2015,1026,27390337.0,62,191
44,Utah,2015,133,2966781.0,22,47
45,Vermont,2015,90,626042.0,5,8
46,Virginia,2015,414,8380278.0,58,158
47,Washington,2015,256,7163444.0,79,275
48,West Virginia,2015,229,1494503.0,12,41
49,Wisconsin,2015,395,5580752.0,25,43
50,Wyoming,2015,57,564577.0,1,2
