geoid,total_16plus,total_16to19,total_20to24,total_25to54,total_55to64,total_65plus,inLaborForce_16to19,inLaborForce_20to24,inLaborForce_25to54,inLaborForce_55to64,inLaborForce_65plus,outLaborForce_16to19,outLaborForce_20to24,outLaborForce_25to54,outLaborForce_55to64,outLaborForce_65plus,Employed_16to19,Employed_20to24,Employed_25to54,Employed_55to64,EmployedMilitary_16to19,EmployedMilitary_20to24,EmployedMilitary_25to54,EmployedMilitary_55to64,Unemployed_16to19,Unemployed_20to24,Unemployed_25to54,Unemployed_55to64
39163,10464.0,693.0,761.0,5090.0,1928.0,1992.0,269.0,513.0,3713.0,983.0,274.0,424.0,248.0,1377.0,945.0,1718.0,207.0,392.0,3253.0,949.0,0.0,0.0,0.0,0.0,62.0,121.0,460.0,34.0
39165,168617.0,11345.0,11228.0,92040.0,26667.0,27337.0,4887.0,7801.0,75647.0,18762.0,5326.0,6458.0,3427.0,16393.0,7905.0,22011.0,3831.0,6921.0,71722.0,17956.0,0.0,0.0,174.0,0.0,1056.0,880.0,3751.0,806.0
39167,50496.0,3325.0,3844.0,22657.0,9178.0,11492.0,1128.0,2799.0,17583.0,4987.0,1508.0,2197.0,1045.0,5074.0,4191.0,9984.0,919.0,2461.0,16476.0,4770.0,0.0,0.0,25.0,0.0,209.0,338.0,1082.0,217.0
39169,90117.0,7012.0,7967.0,41720.0,15300.0,18118.0,3544.0,6205.0,34417.0,10111.0,3020.0,3468.0,1762.0,7303.0,5189.0,15098.0,2984.0,5730.0,32963.0,9873.0,0.0,0.0,17.0,0.0,560.0,475.0,1437.0,238.0
39171,29792.0,1827.0,2091.0,14269.0,5218.0,6387.0,848.0,1697.0,11519.0,3498.0,879.0,979.0,394.0,2750.0,1720.0,5508.0,595.0,1562.0,10751.0,3361.0,0.0,10.0,2.0,0.0,253.0,125.0,766.0,137.0
39173,105389.0,10486.0,15770.0,45862.0,15916.0,17355.0,5403.0,12188.0,39185.0,10656.0,3187.0,5083.0,3582.0,6677.0,5260.0,14168.0,3953.0,10931.0,37147.0,10255.0,0.0,52.0,108.0,0.0,1450.0,1205.0,1930.0,401.0
39175,17729.0,1092.0,1189.0,8438.0,3115.0,3895.0,616.0,1073.0,7349.0,2057.0,704.0,476.0,116.0,1089.0,1058.0,3191.0,506.0,944.0,6973.0,1926.0,0.0,0.0,0.0,0.0,110.0,129.0,376.0,131.0
40001,16940.0,1239.0,1421.0,8447.0,2725.0,3108.0,344.0,946.0,5887.0,1438.0,434.0,895.0,475.0,2560.0,1287.0,2674.0,273.0,805.0,5464.0,1366.0,0.0,0.0,0.0,0.0,71.0,141.0,423.0,72.0
40003,4777.0,212.0,258.0,2393.0,827.0,1087.0,67.0,196.0,1352.0,441.0,231.0,145.0,62.0,1041.0,386.0,856.0,55.0,184.0,1286.0,430.0,0.0,0.0,0.0,0.0,12.0,12.0,66.0,11.0
40005,11107.0,647.0,867.0,5328.0,1890.0,2375.0,245.0,575.0,3156.0,838.0,330.0,402.0,292.0,2172.0,1052.0,2045.0,191.0,463.0,2937.0,777.0,0.0,0.0,0.0,0.0,54.0,112.0,219.0,61.0
