ORI,agency
FL0590400,OVIEDO
FL0590500,SANFORD
FL0600000,SUMTER
FL0640000,VOLUSIA
FL0640100,DAYTONA BEACH
FL0640200,DELAND
FL0640300,NEW SMYRNA BEACH
FL0640400,ORMOND BEACH
FL0640500,DAYTONA BEACH SHORES
FL0641300,SOUTH DAYTONA
FL0650000,WAKULLA
FL0660000,WALTON
GA0230000,CATOOSA
GA0290100,ATHENS-CLARKE COUNTY
GA0290200,UNIVERSITY OF GEORGIA
GA0330200,COBB COUNTY POLICE DEPT
GA0331100,SOUTHERN POLYTECHNIC S U
GA0570600,BERRY COLLEGE
GA0601000,GEORGIA INSTITUTE OF TEC
GA0630300,COL OF COASTAL GEORGIA
GA0670200,GWINNETT COUNTY POL DEPT
GA0750500,HENRY COUNTY POLICE DEPT
GA0760200,WARNER ROBINS
GA1060100,COLUMBUS
GA1240100,SYLVANIA
